Method='Average'
Novel class='omL'
Train_data,Test_data_number,novel_data_number,detected_novel_data_number,novel_class_accuracy,accuracy,Mnew,Fnew,ERR
311,22,5,4,80.000000,77.272727,20.000000,23.529412,36.363636,
301,32,5,4,80.000000,87.500000,20.000000,33.333333,37.500000,
301,32,5,4,80.000000,75.000000,20.000000,37.037037,53.125000,
301,32,5,4,80.000000,78.125000,20.000000,44.444444,56.250000,
Novel class='omL,pp'
Train_data,Test_data_number,novel_data_number,detected_novel_data_number,novel_class_accuracy,accuracy,Mnew,Fnew,ERR

254,79,56,53,94.642857,88.607595,5.357143,47.826087,24.050633,
254,79,56,54,96.428571,88.607595,3.571429,39.130435,21.518987,
254,79,56,55,98.214286,96.202532,1.785714,56.521739,18.987342,
257,76,56,54,96.428571,90.789474,3.571429,35.000000,17.105263,
256,77,57,56,98.245614,96.103896,1.754386,50.000000,15.584416,
254,79,59,56,94.915254,91.139241,5.084746,30.000000,15.189873,
254,79,59,58,98.305085,91.139241,1.694915,40.000000,17.721519,
256,77,57,55,96.491228,85.714286,3.508772,25.000000,19.480519,

Novel class='omL,pp,imS'
Train_data,Test_data_number,novel_data_number,detected_novel_data_number,novel_class_accuracy,accuracy,Mnew,Fnew,ERR

255,78,58,47,81.034483,82.051282,18.965517,50.000000,29.487179,
254,79,59,56,94.915254,88.607595,5.084746,25.000000,16.455696,
254,79,59,56,94.915254,86.075949,5.084746,30.000000,20.253165,
254,79,59,52,88.135593,83.544304,11.864407,25.000000,21.518987,
254,79,59,57,96.610169,92.405063,3.389831,60.000000,21.518987,
261,72,58,54,93.103448,90.277778,6.896552,42.857143,16.666667,
260,73,59,52,88.135593,86.301370,11.864407,57.142857,23.287671,
